Question Title,Description,Accepted Answer
is there a way to virtualize IOT devices on virtual machines,"Is it possible to install a virtual machine on the openstack cloud? Let's say I want to simulate a gps device inside of a virtual machine, I looked a little bit and i found out that i can do it using the command ""gpsfake"" ( at least this is start but i'm not sure that is really what i'm looking for), i want another iot device virtualized in another virtual machine to constantly get the coordinates from the first VM and then I'll program it to do an action of my choosing later on depending on the coordinates.I guess you have to do it the other way round because openstack is really a cloud os that you might install on a virtual machine and not the other way round. Basically the shortest routes are :1) Install virtualbox on your laptop2) create a virtual machine (ubuntu or centos)2) install openstack on the virtual machine .Follow either route depending on your choice of VM OS
  A) for centos 
  B) for ubuntu 3) create  instances inside the openstack ( actually virtual machines)4) Deploy your app inside the instances","I guess you have to do it the other way round because openstack is really a cloud os that you might install on a virtual machine and not the other way round. Basically the shortest routes are :1) Install virtualbox on your laptop2) create a virtual machine (ubuntu or centos)2) install openstack on the virtual machine .Follow either route depending on your choice of VM OS
  A) for centos 
  B) for ubuntu 3) create  instances inside the openstack ( actually virtual machines)4) Deploy your app inside the instances"
TI iBeacon configuration,"Hello I've got some iBeacons, but I don't know anything about manufacturer, I need anyway to configure that beacons with custom UUID, Major and  Minor parameters. So after search around I've understand that the chip inside is an CC2541 - HMSensor. As I understand well it's produced by Texas Instruments, but unfortunately any app I've tried (Even SensorTag both on iOS and Android) to edit iBeacon tags failed, no one seems to be able to allow me change UUID, Major and Minor.I hope that someone could help me to understand better in which situation I am. Phisically the beacon is just the CC2541 board () with a module to attach a button battery.It sounds like you don't know what firmware is installed on the CC2541.  If your device does have base firmware, you'd need a  CP2102 USB to Serial Converter as described in the link you have in the question, then you'd need to wire it up to your CC2541 and then you'd need a serial cable to connect it to your computer.  From that point you may be able to use a terminal program to set the identifiers if the CC2541 has base firmware.  If your CC2541 does not have base firmware, you'll need an additional  jig that allows you to flash new firmware so you can get the identifiers configured.If you are just using these devices because they are convenient, it would be far easier to order new off-the-shelf beacons that are configurable.  If you actually do want to learn to use this hardware, I'd suggest getting a development setup going through tutorials like you have linked above.","It sounds like you don't know what firmware is installed on the CC2541.  If your device does have base firmware, you'd need a  CP2102 USB to Serial Converter as described in the link you have in the question, then you'd need to wire it up to your CC2541 and then you'd need a serial cable to connect it to your computer.  From that point you may be able to use a terminal program to set the identifiers if the CC2541 has base firmware.  If your CC2541 does not have base firmware, you'll need an additional  jig that allows you to flash new firmware so you can get the identifiers configured.If you are just using these devices because they are convenient, it would be far easier to order new off-the-shelf beacons that are configurable.  If you actually do want to learn to use this hardware, I'd suggest getting a development setup going through tutorials like you have linked above."
WSO2 Message Broker: Is it already possible to use MQTT?,"Currently I'm interested in building a (small?) Internet of Things project. During research I found WSO2, an open source platform. I decided to use it and searched for developed projects. I found one decent !This project uses MQTT as communication protocol, Raspberry Pi<->Message Broker, and Message Broker<->Complex Event Manager.My questions are the following: According to :According to :There is a relevant source code in .You could find more information on the WSO2 Message Broker architecture and capabilities through referring the article, To answer to you questions,MQTT will be supported from broker 3.0.0 version. and currently in RC stage. This will be released soon. It provides seamless integration with other WSO2 products. i.e WSO2 CEP (Complex Event Processor), WSO2 ESB (Enterprise Service Bus). Until released, you can use the Beta version of WSO2 Message Broker 3.0.0 which supports MQTT to test out your project.The 2.2.0 version does not support MQTT.Furthermore, since all WSO2 products are based on OSGI concept, you can integrate any of features available from any WSO2 product.But if you're looking some simple integration, try integrating WSO2 ESB with MB using MQTT.","According to :The WSO2 MB team was working on adding MQTT support; WSO2’s Co-Founder
  and CTO Paul Fremantle used this for MQTT interop test at EclipseCon,
  in San Francisco in March 2014, where he presented a . We decided
  that MQTT was the ideal message protocol for devices due to its open,
  less message overhead nature.According to :Upcoming WSO2 Message Broker (MB) 3.x.x release will be supporting
  MQTT in addition to AMQP.There is a relevant source code in .You could find more information on the WSO2 Message Broker architecture and capabilities through referring the article, To answer to you questions,MQTT will be supported from broker 3.0.0 version. and currently in RC stage. This will be released soon. It provides seamless integration with other WSO2 products. i.e WSO2 CEP (Complex Event Processor), WSO2 ESB (Enterprise Service Bus). Until released, you can use the Beta version of WSO2 Message Broker 3.0.0 which supports MQTT to test out your project.The 2.2.0 version does not support MQTT.Furthermore, since all WSO2 products are based on OSGI concept, you can integrate any of features available from any WSO2 product.But if you're looking some simple integration, try integrating WSO2 ESB with MB using MQTT."
Questions on Bluemix IOT Driver Behavior service,"Came across the interesting service (Experimental) on Bluemix - Driver Behavior. Curious to know how it actually works, how does the data get to Bluemix from the car and is there a need to have an external app/device in the car to collect and post data to Bluemix something similar to Aviva's Rate my Drive app?One simple example is to use  and  to receive car probe data via MQTT and send the received data into  service in the  workflow. You can have MQTT client in each driver's smart phone. I am not familiar with the Aviva's Rate my Drive app, but as far as I searched, you might be able to develop similar kind of application which can analyze driving behavior from car probe data with the  service.","One simple example is to use  and  to receive car probe data via MQTT and send the received data into  service in the  workflow. You can have MQTT client in each driver's smart phone. I am not familiar with the Aviva's Rate my Drive app, but as far as I searched, you might be able to develop similar kind of application which can analyze driving behavior from car probe data with the  service."
MQTT Communication Design between Multiple IoT Devices,"I have this current setup:Android app(ON/OFF button) <--> MQTT broker(mosquito) <--> NodMCUMQTT TOPICS: - where my nodMCU receives ON/OFF command.
 - where my nodMCU returns the status of the load. This is where also the button status of the app is dependent.The above setup works just fine and every time I add another IoT device I needed to change the mqtt topics inside the firmware before flashing to every iot device so i can control them individually and there where the problem comes in..Maybe someone can guide me how to re-design my system that I can easily add new device to my android app and control them individually without changing the firmware of each IoT device? I'm trying to replicate the app eWeLink where it can easily add sonoff devices easily..EDIT:
My thoughts:topic should look like this  & Design the device firmware to generate unique ID for each iot device then the id should be included in the MQTT topic. then add the device to Android app using it's ID..
topic should look like this  & ","Design the device firmware to generate unique ID for each iot device then the id should be included in the MQTT topic. then add the device to Android app using it's ID..
topic should look like this  & "
Minimum requirements Azure IoT Hub,"Does someone know the bare minimum required for a device to connect to the Azure IoT Hub and to send and receive messages (in terms of memory usage, processing power etc.). Or is this really case-specific?I couldn't find a conclusive answer on the web. Does someone have experience with this?Many thanks!As @juunas pointed out, it is hard to say precisely.But you can check from the following two aspects(I assume you mean devices that communicate directly with Azure IoT Hub)：There's nothing like system/set-up requirements for Azure IoT Hub so there's no specific document from Microsoft talking about this topic. Depending on your target application you can pick the device, as all descent embedded devices can act as IoT device for Azure. You can take a look at  and find out whether particular device is listed under that.MS has published 2 Whitepapers on this. You may find this useful","Does someone know the bare minimum required for a device to connect to
  the Azure IoT Hub and to send and receive messages (in terms of memory
  usage, processing power etc.).As @juunas pointed out, it is hard to say precisely.But you can check from the following two aspects(I assume you mean devices that communicate directly with Azure IoT Hub)：There's nothing like system/set-up requirements for Azure IoT Hub so there's no specific document from Microsoft talking about this topic. Depending on your target application you can pick the device, as all descent embedded devices can act as IoT device for Azure. You can take a look at  and find out whether particular device is listed under that.MS has published 2 Whitepapers on this. You may find this useful"
How can I work with the received DATA from Azure IoT Hub,"I receive the Data:Here i become the product name and price:How can i take the Payload, product into a String product; and the price into double price;?As @Aravind said, you can define a POJO class to package the data as object properties like , and serialize & deserialize the data as event body between a POJO and a json string using some json library, such as , , or choose a favorite one from .Peter Pan and Aravind helped me to solve the Problem.Here is the solution for the problem:Here i read the JSON String in into a Object from the Class Product, the Product class contains variables, product und price with getter. It works!","As @Aravind said, you can define a POJO class to package the data as object properties like , and serialize & deserialize the data as event body between a POJO and a json string using some json library, such as , , or choose a favorite one from .Peter Pan and Aravind helped me to solve the Problem.Here is the solution for the problem:Here i read the JSON String in into a Object from the Class Product, the Product class contains variables, product und price with getter. It works!"
OPC UA information model,"Lets say I have multiple distributed complex machines. Each machine contains of multiple cpmplex devices. Each device has its own OPC UA server to monitore the device components. With an OPC UA client I want to read all the data items of the OPC UA servers. Now I don't know how to build the information model. I design a global information model which contains all machines, their devices and the internal components of the devices. From the global point of view, that makes sense. But do I have to create also a local information model for each server? Or does the local OPC UA server use the global information model, but the server implements only for that server relevant objects (based on the global information model)?Here is an example setup: In the example you can see three layers - machine layer, building layer and factory layer. Here is my understanding how to model such setups. There is one overall OPC UA information model, which describes all types etc. Each OPC UA server knows that information model and all contained type descriptions. Now, depending on the real world setup, I can create an object model. An OPC UA server at the machine layer contains all objects from the underlying system, in this example the devices. With an OPC UA Client at the building layer, I can connect to the OPC UA server from the machines and I can read all data items from the devices inside the machines. An OPC UA client at the factory layer can connect to the OPC UA servers from the buildings. The OPC UA server at the building level can provide more objects:And an OPC UA client from outside the factory can see the whole picture of the object model: But how can I route through the servers to get the device data from outside the factory? Do I have to create the object model from the machine layer again in the building layer? And again in the next higher level layer and so on? Or does any OPC UA server at each layer know the whole object model like the information model? The OPC UA servers include two main categories of information: types and instances.When we are talking about information models, we typically talk about different type definitions. For example generic models for all devices (OPC UA for Device (DI)) or specific models for certain device types (OPC UA for Analyzer Devices (ADI), etc). The types define common structures for objects: when you encounter an object of type ""spectrometer"", for example, you know what kind of structure to expect from it. The types are often fixed and when they are standardised, they should not change. If you define your own types, which can be specialisations of the standard types, you have of course a bit more flexibility.Now, if you wish to model a complete production site, you would be creating the outline and arrangement of actual instances: ""Spectrometer 1"" inside the ""Laboratory"" and ""Vessel 13"" inside the ""ProductionHall B"", for example. This model is typically more dynamic and up to change, when the layout of the facility is changed. Due to the above reasons, we don't typically model the instances in the standard models or talk about them that much as information models. You could think that they are more or less the configuration of the system.Now, as you've realised, the whole system may consist of various OPC UA servers in practice. The capabilities of each server are varying and your options may be limited. In an ideal world, all servers would be serving data modelled via proper information models. That is, the instances would follow the structures of standard types or enabling you to model them with your own types. On the other hand, most of the currently existing OPC UA servers are just providing ""unmodeled"" data. This was the only option in OPC Classic and most actual OPC UA servers are still on the same level. Hopefully, in future we will see more OPC UA servers providing the option to adopt information models in them as well. Or we might see a rise of ""Aggerating OPC UA Servers"", which enable you to remodel the data according to standard or custom models.Anyway, when you create models of your systems, I advice you to concentrate on the type information and then just apply this to the actual layout model of your system by using these types.To actually answer your question, I think it is enough if you just create the model you need in your system, since you cannot probably spread it very well to the actual OPC UA servers at the moment. But of course, it would be better if you could apply the models to the specific servers as well.The system could be modelled using three different models, and links among the three models:The following tasks are required:","The OPC UA servers include two main categories of information: types and instances.When we are talking about information models, we typically talk about different type definitions. For example generic models for all devices (OPC UA for Device (DI)) or specific models for certain device types (OPC UA for Analyzer Devices (ADI), etc). The types define common structures for objects: when you encounter an object of type ""spectrometer"", for example, you know what kind of structure to expect from it. The types are often fixed and when they are standardised, they should not change. If you define your own types, which can be specialisations of the standard types, you have of course a bit more flexibility.Now, if you wish to model a complete production site, you would be creating the outline and arrangement of actual instances: ""Spectrometer 1"" inside the ""Laboratory"" and ""Vessel 13"" inside the ""ProductionHall B"", for example. This model is typically more dynamic and up to change, when the layout of the facility is changed. Due to the above reasons, we don't typically model the instances in the standard models or talk about them that much as information models. You could think that they are more or less the configuration of the system.Now, as you've realised, the whole system may consist of various OPC UA servers in practice. The capabilities of each server are varying and your options may be limited. In an ideal world, all servers would be serving data modelled via proper information models. That is, the instances would follow the structures of standard types or enabling you to model them with your own types. On the other hand, most of the currently existing OPC UA servers are just providing ""unmodeled"" data. This was the only option in OPC Classic and most actual OPC UA servers are still on the same level. Hopefully, in future we will see more OPC UA servers providing the option to adopt information models in them as well. Or we might see a rise of ""Aggerating OPC UA Servers"", which enable you to remodel the data according to standard or custom models.Anyway, when you create models of your systems, I advice you to concentrate on the type information and then just apply this to the actual layout model of your system by using these types.To actually answer your question, I think it is enough if you just create the model you need in your system, since you cannot probably spread it very well to the actual OPC UA servers at the moment. But of course, it would be better if you could apply the models to the specific servers as well.The system could be modelled using three different models, and links among the three models: that models the real-world objects:
For example,A  that models data it monitor directly, and it corresponds to an OPC UA server:A  that models one or more remote terminal units, or other logical remote terminal units:The following tasks are required:"
Windows 10 IoT Core GPU utilization,How come there is no data visible for the GPU Utilization in the Windows IoT Core Device Portal?That's because the driver is not yet available to utilize the GPU. You will notice this when doing using video and complex UI's.,That's because the driver is not yet available to utilize the GPU. You will notice this when doing using video and complex UI's.
MQTT Js Last Will Message not getting published,"I have the below code -->When i disconnect the client i expect a last will message being sent to the topic i have created .. Am using Paho 's mqtt version -3.1 .. Websockets are getting created fine but i do not see the last will message ... Can anyone guide here ? Adding the bigger picture :I have a Python script p gathering current on / off status of a IOT device in the local environment and publishing to a topic ""IOT1"" over mqtt  . I do not want the python script always running to get status from the IOT device as it overloads the device .. To solve this i am in need of finding active clients for ""IOT1"" topic so that i run or pause the thread sending requests to the IOT device in the local environment .. Is there a way other than the last will message to know this ?Last Will and Testament messages are only published if client does not disconnect cleanly.If you close the connection gracefully it will not be sent.Only when the server fails to receive a message or ping packet in the time out period will the server send the message.willMessage should be the property of the first object. See below code snippet.",Last Will and Testament messages are only published if client does not disconnect cleanly.If you close the connection gracefully it will not be sent.Only when the server fails to receive a message or ping packet in the time out period will the server send the message.willMessage should be the property of the first object. See below code snippet.
Windows IOT default app source code,"I am looking for the source code of the default app on windows IOT that microsoft is using on the raspberry pi 2. There are a few things that i would like to use that is in the default app. ThanksYou can find all of the up-to-date samples provided for Windows IoT at: Source code of default app is available at:
My friend David Jones (Microsoft MVP on embedded) wrote some article on mimic web portal on Windows IoT Core with all its features.
I think you can find something useful here :","You can find all of the up-to-date samples provided for Windows IoT at: Source code of default app is available at:
My friend David Jones (Microsoft MVP on embedded) wrote some article on mimic web portal on Windows IoT Core with all its features.
I think you can find something useful here :"
Connecting to a REST Service using the Intel Galileo Windows build,"How can I connect to a REST Service using the Intel Galileo board?I need the solution to be autonomous of a PC client.As long there is Internet Access through Ethernet or Wi-Fi the code would executeIf you aren't already leaning towards a Node project, the most straightforward solution would be to use Win32 APIs.  The  was recently updated with a reference to a .  I made a few changes to the WinSock client sample code to post data to Cosm (now Xively), which uses a REST API.  The relevant changes to the Winsock client code are:Arduino libraries have been added to the ms-iot Galileo SDK over the last couple of months, so I suspect that efforts are underway to port the WebClient and Ethernet libraries.  Keep an eye on the GitHub page.There is a C++ SDK available that enables calling REST services. It is C++ REST SDK (code name Casablanca). It’s a library from Microsoft published as an open source project on CodePlex. 
Currently only version 2.2. can be used on Galileo. Instructions how to use it are here: If you want to access Azure with REST using Casablanca, there is a library on GitHub: Azure Storage Client Library for C++. It allows you to build applications against Microsoft Azure Storage. But, if you want to use it on Galileo, you will have some problems. If you want to know how to avoid/workaround problems, you can find the whole instruction on my blog
I hope this will help you.
Best Regards,
Ivanyou can access the REST service using  . Another option is to install nodejs on Galileo board, and use nodejs based REST or HTTP client libraries.To install nodejs, just  no formal installation required. Also  and extract in the same folder that has . Now you are all set to use the ...just install with There is an example at the end of the restler page, copy-paste into a rest_test.js and run  you should have a simple REST client on Galileo working!","If you aren't already leaning towards a Node project, the most straightforward solution would be to use Win32 APIs.  The  was recently updated with a reference to a .  I made a few changes to the WinSock client sample code to post data to Cosm (now Xively), which uses a REST API.  The relevant changes to the Winsock client code are:Arduino libraries have been added to the ms-iot Galileo SDK over the last couple of months, so I suspect that efforts are underway to port the WebClient and Ethernet libraries.  Keep an eye on the GitHub page.There is a C++ SDK available that enables calling REST services. It is C++ REST SDK (code name Casablanca). It’s a library from Microsoft published as an open source project on CodePlex. 
Currently only version 2.2. can be used on Galileo. Instructions how to use it are here: If you want to access Azure with REST using Casablanca, there is a library on GitHub: Azure Storage Client Library for C++. It allows you to build applications against Microsoft Azure Storage. But, if you want to use it on Galileo, you will have some problems. If you want to know how to avoid/workaround problems, you can find the whole instruction on my blog
I hope this will help you.
Best Regards,
Ivanyou can access the REST service using  . Another option is to install nodejs on Galileo board, and use nodejs based REST or HTTP client libraries.To install nodejs, just  no formal installation required. Also  and extract in the same folder that has . Now you are all set to use the ...just install with There is an example at the end of the restler page, copy-paste into a rest_test.js and run  you should have a simple REST client on Galileo working!"
Get data range by date from Thingspeak Channels api,"I have logged tens of thousands of values in Thingspeak for a couple of months. When retrieving the data with the Channels api I can set the start parameter. If I set it to yesterday I will get everything after that (as long as the value count is below 8000, which is the maximum amount that can be retrieved in one request). If I set it to two months ago (after which about 20000 values have been logged) I will get the most recent 8000 values.So now when I set start date (end date is implicitly set to now) I get the big X from the first row as in the example above when I want the values on the second row.How would I get 8000 values from the moment I specify?Is there any other way or do I actually need to set both start and end date and put an interval that is smaller than the time I can log 8000 values and then make more queries to the api to fill up my requested values?I believe both start and end date are required.  So, you'll need to page through your data set by date.  You'll have to guess how many dates you can get given the average data rate that you're logging at.","I believe both start and end date are required.  So, you'll need to page through your data set by date.  You'll have to guess how many dates you can get given the average data rate that you're logging at."
Create connection from Eclipse-ditto to Azure IoT hub using MQTT,"I'm trying to create an outgoing connection from  to  using MQTT.
We are in charge of Ditto while somebody else (interested in the digital twin Live data) is in charge of the Azure IoT Hub.
I'm getting following error while connecting with Azure IoT hub (in Connectivity micro service): .
we also tried connecting with  and received the same error when we omitted the  option. Everything else seems ok.Some extra information:Does anyone have experience with this?
Maybe the solution is using another protocol (amqp for example)?
Hopefully I haven't missed any other relevant questions or information on the internet. If so, please show me where I can find it.ThanksDitto appends ""-publisher"" to the ID of an outgoing connection.
However, Azure IoT Hub expects the connectionID to be the same as the device configured in the Azure IoT Hub. To get it to work for the device/connection called 'test', you should do the following:","Ditto appends ""-publisher"" to the ID of an outgoing connection.
However, Azure IoT Hub expects the connectionID to be the same as the device configured in the Azure IoT Hub. To get it to work for the device/connection called 'test', you should do the following:"
Microsoft Device client too heavy for Windows FormAplicattion,"OS: Windows10SDK: Microsoft.Azure.Devices v1.3.2Language: C#Hello, I´m developing a Windows Form Application on C#. In this app, I´m sending messages to my IoT Hub using the NuGet Packet  and receive those messages on a raspberry pi.
Ony with this package install, the app is about 30 MB, and that´s ok for me.
The problem is that I need to receive messages from the IoT Hub in this app too, so what I did is to install the NuGetPacket  that help me receive messages, but if I install this package, it increases the weight of the app like 300 MB more, and that´s way to heavier than I want it.My question is, is there other way to receive message from my IoT Hub in my Windows Form Application without all that extra weight? Am I missing a package to help me do that in a more easy way?
Thank you in advance.You can also use EventHubClient to receive message from Azure IoT Hub, which is in . WindowsAzure.ServiceBus has no dependencies, it is about 3M. And more, you can get the sample source code from . The tool of DeviceExplorer use EventHubClient to receive message.There are so much dependencies about Microsoft.Azure.Devices.Client v1.5.0. When you use nuget to install Microsoft.Azure.Devices.Client, the dependencies will be installed too. After building your project, you can find the *.dll libraries in you output directory. If you want to reduce package's capacity, can remove some *.dll which are not used, such as localization libraries, but it is not recommended. In fact, all of the dependencies are about 20M, why the weight of your app increased to 300M maybe some other reason. ","You can also use EventHubClient to receive message from Azure IoT Hub, which is in . WindowsAzure.ServiceBus has no dependencies, it is about 3M. And more, you can get the sample source code from . The tool of DeviceExplorer use EventHubClient to receive message.There are so much dependencies about Microsoft.Azure.Devices.Client v1.5.0. When you use nuget to install Microsoft.Azure.Devices.Client, the dependencies will be installed too. After building your project, you can find the *.dll libraries in you output directory. If you want to reduce package's capacity, can remove some *.dll which are not used, such as localization libraries, but it is not recommended. In fact, all of the dependencies are about 20M, why the weight of your app increased to 300M maybe some other reason. "
IBM Bluemix customizing mobile app map with geoanalytics,"I am new to use IBM Bluemix. I wish to create an application which tracks vehicles. A region on map will be divided into 4 sub regions and each sub region will have five vehicles. Whenever, the vehicles leaves its region, the manager will be notified. I know that it can be done by using IOT and geoanalytics. Is there anyway I can use geo analytics with my mobile application (which i have built using IBM mobile services). If so how? If no, is there any other possible way to do the required i.e. breaking region into sub regions. Any link or comment will be helpful.Are the following links suitable for your requirement?

  ","Are the following links suitable for your requirement?

  "
Android Volley POST Request returning error 400 (Bad Request),"I'm Trying to make a POST Request to Azure IoT Hub with a JAVA android application, using Volley Library, but I'm getting this error:
BasicNetwork.performRequest: Unexpected response code 400 for )To access the IoT Hub I need to use a SAS Key that I need to include in the header of the request. The android application Code is below:I've tried to do the same request using POSTMAN and it worked and I don't know why it isn't working with the Android Application. Here's the http code of the request made with POSTMAN:EDIT:It seems the problem lies in the value in the map. [] could not be escaped.What I did was, while creating the params, I encoded key and value with UTF-8.I also struggled with this problem for 3 days. It may seem like a work around but it worked for me.It seems the problem is with 
Try adding it both in  and Android Volley POST request set Content-Type to value ""application/json; charset=UTF-8"" by default. If you set content type in your request call it will override your content type.
For example if your send request ""Content-Type"", ""application/json"" then it will set the content type to ""application/json"". But if you remove it then automatically it set to ""application/json; charset=UTF-8"". Problem here is if your back end configured(written by the developers) only to manage ""application/json"" request then the default call ""application/json; charset=UTF-8"" would fail your request.(Problem with the back end development). But this will work fine in the POSTMAN. So can't figure out what is actually wrong here. Since you can send a post request by setting ""Content-Type"" to ""application/json"" then depend on Volley version your call will fail. Only Volley version 1.1.1 will support override. ('com.android.volley:volley:1.1.1'). So my advice is you have to follow 3 steps.It should work now.According to the  of Azure IoTHub, the 400 error code means Meanwhile, as the offical REST reference for  said, So please try to change your code as below.","It seems the problem lies in the value in the map. [] could not be escaped.What I did was, while creating the params, I encoded key and value with UTF-8.I also struggled with this problem for 3 days. It may seem like a work around but it worked for me.It seems the problem is with 
Try adding it both in  and Android Volley POST request set Content-Type to value ""application/json; charset=UTF-8"" by default. If you set content type in your request call it will override your content type.
For example if your send request ""Content-Type"", ""application/json"" then it will set the content type to ""application/json"". But if you remove it then automatically it set to ""application/json; charset=UTF-8"". Problem here is if your back end configured(written by the developers) only to manage ""application/json"" request then the default call ""application/json; charset=UTF-8"" would fail your request.(Problem with the back end development). But this will work fine in the POSTMAN. So can't figure out what is actually wrong here. Since you can send a post request by setting ""Content-Type"" to ""application/json"" then depend on Volley version your call will fail. Only Volley version 1.1.1 will support override. ('com.android.volley:volley:1.1.1'). So my advice is you have to follow 3 steps.It should work now.According to the  of Azure IoTHub, the 400 error code means Meanwhile, as the offical REST reference for  said, So please try to change your code as below.Add the  header in the  method.Change the reture value of the method, and use  with  in the  method."
Shutdown IoT device from code,"What I have is: VS 2017 Community, C#, Raspberry 3, IoT-Extension referenced.
I want to shutdown the Raspberry from code.
What I have found on the web everywhere is this:
Edit the AppManifest. Add 
  ...IgnorableNamespaces=""uap mp iot"">
(- which already was there when I looked into it)
Then add:   But: ""iot:Capability"" stays undercurled, saying, that it ""has invalid child element 'Capabilities' in namespace 'http:... appX/manifest/iot/win10'I had already 2 other capabilites selectedCan they interfere?
I could not find this error somewhere else on the whole web. Would be great if someone had an explanation for this. Thanks in advance!To use ShutdownManager to manages the shutdown of devices, you need:For more detailed information, see .","To use ShutdownManager to manages the shutdown of devices, you need:For more detailed information, see ."
mqtt.js | client.connected returns false though client seems to be connected,"while playing around with mqtt.js of node.js i figured out that the value of client.connected seem to be wrong or i misunderstand something. 
I did this tutorial  and everything works fine. 
I tried to get more into mqtt, so i looked up on  , Description of client.connected:In order to look if it works, i modified the sourcecode for the firstline just like thisI just added the if-clause. When executing the script, I always receive the message, that something went wrong, ergo: connected --> false. 
But why?The problem is that the  call is asynchronous. So it returns before it has actually connected. This means as you test the  straight after calling  it will still be false because it's not actually finished connecting yet.You need to register event handlers to be told when the client has actually been connected.This code connects to a broker, subscribes to the topic  then publishes a message to that same topic. When it receives a message on the  topic it prints it out then exits.","The problem is that the  call is asynchronous. So it returns before it has actually connected. This means as you test the  straight after calling  it will still be false because it's not actually finished connecting yet.You need to register event handlers to be told when the client has actually been connected.This code connects to a broker, subscribes to the topic  then publishes a message to that same topic. When it receives a message on the  topic it prints it out then exits."
"SIM7000 ""Normal Power Down"" with AT+SMCONN or AT+SMDISC command","I'm making a project with a SIM7000A in Argentina, a tracker device for bee hives. It work over LTE Cat-M technology for IoT devices. I make a MQTT connection with a broker, everything is working. But sometimes happen a different behavior.When the microcontroller send AT+SMCONN or AT+SMDISC via series, the SIM7000A responses is ""OK"" normally, or ""ERROR: operation not allowed"", if something is wrong. Both are ok. But sometimes, the response is """" or """". So, the SIM7000A is power off obviously. If i run the turn on rutine, it work ok.I have done several tests, with Litio battery (5000mAh full charged), then a 12 V 30 A source. The SIMCOM chip work over a Shield + Arduino UNO, where is applyed the source. The voltage over chip is ok and there is not current limit.
The stranger thing is it doesn't happen all the time, and it's not suddlenly power off, it's a NORMAL POWER DOWN, as if I will sent AT+CPOWD=1\r\n.Sometimes it work for some minutes and then the rare behavior happen, almost always when I make a signal loss simulation with a faraday cage, but it happen sometimes with good signal level.I attach an example of the sequence. After executing the same routine successfully (without shutting down) several times:I await your prompt response, thank you very much in advance.
Santiago Mercante.An automatic power down may be issued by the modem voltage monitor in case of under- or over-voltage:
that's assuming it's been enabled by command AT+CBATCHK:
","An automatic power down may be issued by the modem voltage monitor in case of under- or over-voltage:
that's assuming it's been enabled by command AT+CBATCHK:
"
How to run an object whose functions can be called as threads,"I'm writing a script for a Raspberry Pi in Python whose purpose is to listen to a server/message broker for commands and execute said commands with certain hardware.  Sometimes, those commands must last for a specified duration (i.e. I need something to turn on, stay on for t seconds, then turn off) and this is accomplished by having the code sleep for said duration between on and off commands (this happens inside a function call -- hardware1.on(dur = t)).  I would like to be able to interrupt that sequence with another command (such as turning the hardware off before t seconds is up).  I've tried to accomplish this via multiprocessing,  but cannot get the behavior I'm looking for.This hardware (a stalk of differently colored lights) is controlled via a class, LiteStalk.  This class is made up of Lite objects (each light in the stalk), which have their own class too.  Both classes inherit multiprocessing.process.  In my main code that creates a specific LiteStalk and then listens to a message broker (MQTT-based) for commands, I evaluate the commands published to the broker (this is in the on_message callback which runs when a message is published to the broker).class Lite(multiprocessing.Process):class LiteStalk(multiprocessing.Process):The command always runs to its completion before being executing whatever other commands were published to the server, i.e. the stalk stays on for the commanded duration, and cannot be commanded to turn off (or anything else) before the duration is up.  I think this may be becuase I am not including all the functionality of my multiprocessing-able objects in a run() function, but I've messed around with that with no luck.The Paho MQTT client is single threaded (the thread you start with the  function) it can only call  for one message at a time.This means it will block in the call to  until whatever was passed to it has finished, even if that is code is creating new threads to do things.I was going to suggest replacing sleep with waiting with a timeout on a threading.Event or the equivalent and then checking when the sleep ends if it was due to the event being set or the timeout. If the event was set, stop.But it seems there are other issues than just an interrupt-able sleep.","The Paho MQTT client is single threaded (the thread you start with the  function) it can only call  for one message at a time.This means it will block in the call to  until whatever was passed to it has finished, even if that is code is creating new threads to do things.I was going to suggest replacing sleep with waiting with a timeout on a threading.Event or the equivalent and then checking when the sleep ends if it was due to the event being set or the timeout. If the event was set, stop.But it seems there are other issues than just an interrupt-able sleep."
